,User,Week,freq_week
496,user16219,2023-08,1
497,user16220,2023-02,10
498,user16220,2023-05,3
499,user16220,2023-07,9
500,user16220,2023-09,3
501,user16222,2023-02,1
502,user16222,2023-03,17
503,user16222,2023-05,17
504,user16222,2023-06,10
505,user16222,2023-07,33
506,user16222,2023-08,27
507,user16222,2023-09,48
508,user16226,2023-02,12
509,user16226,2023-03,15
510,user16226,2023-05,16
511,user16226,2023-06,2
512,user16226,2023-07,16
513,user16226,2023-08,4
514,user16226,2023-09,19
515,user16233,2022-44,5
516,user16233,2023-02,1
517,user16233,2023-03,4
518,user16233,2023-05,1
519,user16233,2023-06,3
520,user16233,2023-07,3
521,user16233,2023-08,7
522,user16233,2023-09,1
523,user16238,2023-02,55
524,user16238,2023-03,16
525,user16238,2023-05,10
526,user16239,2023-05,2
527,user16239,2023-06,6
528,user16239,2023-07,37
529,user16239,2023-08,6
530,user16239,2023-09,28
531,user16244,2023-02,2
532,user16244,2023-03,1
533,user16244,2023-05,9
534,user16244,2023-06,12
535,user16244,2023-07,24
536,user16244,2023-08,26
537,user16244,2023-09,21
538,user16248,2023-02,31
539,user16248,2023-03,5
540,user16248,2023-05,40
541,user16248,2023-06,53
542,user16248,2023-07,91
543,user16248,2023-08,55
544,user16248,2023-09,35
545,user16249,2023-02,34
546,user16249,2023-03,30
547,user16249,2023-05,10
548,user16249,2023-06,2
549,user16249,2023-07,20
550,user16249,2023-08,1
551,user16249,2023-09,22
552,user16250,2022-44,1
553,user16250,2023-02,18
554,user16250,2023-03,1
555,user16250,2023-05,30
556,user16250,2023-07,5
557,user16250,2023-08,2
558,user16250,2023-09,10
559,user16255,2023-05,3
560,user16255,2023-06,6
561,user16255,2023-07,16
562,user16255,2023-08,1
563,user16255,2023-09,3
564,user16264,2023-02,18
565,user16264,2023-03,48
566,user16264,2023-05,28
567,user16264,2023-06,11
568,user16264,2023-07,24
569,user16264,2023-08,20
570,user16264,2023-09,14
571,user16266,2023-03,14
572,user16266,2023-05,10
573,user16266,2023-08,24
574,user16266,2023-09,66
575,user16267,2023-02,1
576,user16267,2023-03,6
577,user16267,2023-05,47
578,user16267,2023-07,19
579,user16267,2023-08,44
580,user16267,2023-09,5
581,user16268,2023-02,35
582,user16268,2023-03,7
583,user16268,2023-05,26
